station,lat,lon
West Hampstead,51.5516906,-0.19282
Hammersmith,51.4962548,-0.2241867
Soho,51.5124981,-0.1300662
Whitechapel,51.5151942,-0.0694656 
Tooting,51.4377918,-0.1627298
Old Kent Road,51.4870355,-0.0736656
Stoke Newington,51.5624203,-0.0769595
Lambeth,51.4927459,-0.1213381 
Dowgate,51.5099944,-0.0902068
Eltham,51.4506444,0.0595021 
Deptford,51.4848917,-0.0339022
North Kensington,51.5218458,-0.2122507
Kensington,51.5028921,-0.190126 
Holloway,51.5615527,-0.116051 
Fulham,51.4779157,-0.2009506
Shadwell,51.5109149,-0.0559268
West Norwood,51.4260021,-0.1050659
New Cross,51.4736386,-0.0493186
Shoreditch,51.5265261,-0.0854498 
Islington,51.5402533,-0.1023371
Paddington,51.5201218,-0.1831585
Plumstead,51.4874258,0.0914659 
Peckham,51.4739053,-0.0779915 
Kentish Town,51.5527447,-0.1417156
Poplar,51.510897,-0.0145954 
Forest Hill,51.4425524,-0.045089
Wandsworth,51.4565038,-0.2014903
Lewisham,51.4570895,-0.0132894
Dockhead,51.5007208,-0.0708409 
Chelsea,51.4871605,-0.1701805
Greenwich,51.4740289,-0.0136479
Bethnal Green,51.527797,-0.0533912
Lee Green,51.4564407,0.0126211
Acton,51.5069695,-0.2769569
Homerton,51.548538,-0.0439097
Euston,51.5276956,-0.1306402 
Chiswick,51.490557,-0.2689186
Clapham,51.4649122,-0.1409814
Brixton,51.4637439,-0.1095294
Millwall,51.5007524,-0.0257273
Norbury,51.4067779,-0.1214271 
Battersea,51.4670934,-0.1692989
East Greenwich,51.4869868,0.0221619
Richmond,51.467456,-0.284867 
Bromley,51.4070201,0.0171077
Hornsey,51.586507,-0.1273033
Beckenham,51.40803,-0.0343827 
Park Royal,51.5358182,-0.2648373 
Stratford,51.5437222,0.0111485
Sidcup,51.4270391,0.0944612
Tottenham,51.5924571,-0.071591
Leyton,51.5631269,-0.0167649
Mitcham,51.397375,-0.1728312
Leytonstone,51.5606899,0.0086076
Erith,51.4855555,0.1564855
Bexley,51.4611125,0.1535622
