Borough,Total,Fire,Special,False
city of london,2.1643504653201675,0.17464101050805697,0.30043783338061514,1.6892716214314956
camden,4.227323379579208,0.5135443445060982,1.0851896446898446,2.6285893903832656
greenwich,4.9182103374423,1.1704574677579052,1.7554661080927139,1.9922867615916808
hackney,2.786432645919855,0.4264030211906974,1.0536633794931418,1.3063662452360159
hammersmith and fulham,2.0627300267126967,0.28253960569502923,0.6170054091934692,1.1631850118241982
islington,1.8752830625267511,0.288863840050363,0.639085740979234,0.9473334814971541
kensington and chelsea,1.7387540361907539,0.17085537409336612,0.5015206439221803,1.0663780181752074
lambeth,3.336883517378561,0.5500915574837858,1.346708521766058,1.4400834381287175
lewisham,3.950567830296816,0.7104377712500994,1.3802709856301894,1.8598590734165275
southwark,4.009731979139355,0.7171968569862298,1.4159699011807985,1.8765652209723265
tower hamlets,2.98771696100645,0.6266287547655838,1.1102777825023675,1.2508104237384985
wandsworth,3.0215583263668377,0.573172162702656,0.9471395012677153,1.5012466623964664
westminster,5.197594311452514,0.6337889112223566,1.1388941622932127,3.424911237936945
