Borough,Total,Fire,Special,False
city of london,1.5427586205227664,0.12448488762574589,0.2141534214564283,1.2041203114405923
camden,1.7745680204967662,0.2155783433247091,0.45554661111176614,1.103443066060291
greenwich,1.8971734947843244,0.45149774658833963,0.6771617199677692,0.7685140282282156
hackney,1.1010886239243431,0.16849770854053933,0.416366339342317,0.516224576041487
hammersmith and fulham,0.9830863875041206,0.13465690453550194,0.2940615644991502,0.5543679184694684
islington,0.8273403178811299,0.12744140126217451,0.28195284789840325,0.4179460687205521
kensington and chelsea,0.9602661339611273,0.09435873397398661,0.2769760873688134,0.5889313126183272
lambeth,1.395779407752229,0.2300968746183279,0.5633124480180228,0.6023700851158782
lewisham,1.6266017550488943,0.292514740971202,0.5683110135335784,0.765776000544114
southwark,1.6655646012495777,0.29790961174919095,0.5881663303460505,0.7794886591543362
tower hamlets,1.1190377778398177,0.2347013650942343,0.41585022903168095,0.46848618371390255
wandsworth,1.3327348672240584,0.25281210674975063,0.417759877891379,0.6621628825829289
westminster,2.6108669208964694,0.318366229448756,0.5720918018133032,1.7204088896344103
