lat,lon,k12,fire_station
51.51391849,-0.15890865,4.0,0.0
51.57367422,-0.12763188,6.0,1.0
51.51292922,-0.1531837,4.0,0.0
51.52348583,-0.1383409,7.0,2.0
51.54559831,-0.17205195,3.0,3.0
51.54771882,-0.07965867,11.0,4.0
51.55649474,-0.17882803,1.0,3.0
51.49953928,-0.15948847,4.0,5.0
51.543257,-0.13753378,7.0,6.0
51.5393865,-0.12038724,7.0,4.0
51.49641072,-0.13224138,9.0,7.0
51.53431581,-0.14078267,7.0,2.0
51.54463969,-0.11151734,2.0,4.0
51.55657666,-0.12689133,6.0,1.0
51.51261001,-0.13301972,0.0,0.0
51.52521455,-0.13394556,7.0,2.0
51.51173762,-0.1921436,8.0,8.0
51.52451903,-0.09072642,11.0,9.0
51.52458486,-0.2089334,8.0,10.0
51.56551723,-0.12363824,6.0,1.0
51.51337083,-0.12434121,0.0,0.0
51.51364593,-0.14162479,4.0,0.0
51.5586716,-0.14555989,6.0,6.0
51.51740001,-0.1515614,4.0,0.0
51.56554028,-0.12508016,6.0,1.0
51.53262932,-0.20573384,8.0,10.0
51.54961637,-0.14160108,6.0,6.0
51.52687412,-0.12522775,7.0,2.0
51.50908582,-0.19513079,8.0,8.0
51.48578647,-0.14275816,9.0,7.0
51.4938747,-0.14242939,9.0,7.0
51.55321111,-0.14145454,6.0,6.0
51.48010459,-0.18187366,5.0,5.0
51.55132542,-0.19345866,1.0,3.0
51.56825927,-0.12641131,6.0,1.0
51.52687412,-0.12522775,7.0,2.0
51.56346497,-0.10785199,2.0,1.0
51.53505972,-0.18833538,1.0,11.0
51.52044491,-0.11684317,0.0,0.0
51.56664551,-0.13802091,6.0,6.0
51.5381394,-0.09880834,11.0,4.0
51.51472662,-0.15311096,4.0,0.0
51.51346282,-0.13010238,0.0,0.0
51.53399443,-0.12060946,7.0,2.0
51.49034826,-0.14689427,9.0,5.0
51.50797874,-0.12456278,0.0,0.0
51.52712628,-0.14107567,7.0,2.0
51.51800213,-0.13279913,0.0,0.0
51.54557585,-0.17061061,3.0,3.0
51.54401812,-0.1288495,7.0,6.0
51.54557585,-0.17061061,3.0,3.0
51.49456745,-0.12943548,9.0,7.0
51.51094986,-0.14173457,4.0,0.0
51.51369154,-0.14450542,4.0,0.0
51.5449168,-0.12881263,7.0,6.0
51.5303997,-0.12075755,7.0,2.0
51.52719152,-0.08917288,11.0,9.0
51.55065169,-0.15021331,3.0,6.0
51.53811603,-0.09736729,11.0,4.0
51.51894664,-0.13564329,0.0,0.0
51.54182738,-0.10442313,2.0,4.0
51.52892366,-0.14100243,7.0,2.0
51.51167095,-0.18782274,10.0,11.0
51.49585396,-0.15387431,9.0,5.0
51.51854732,-0.16737023,10.0,11.0
51.51645589,-0.148717,4.0,0.0
51.53788773,-0.13919506,7.0,2.0
51.52793669,-0.19294334,8.0,11.0
51.51698859,-0.12563386,0.0,0.0
51.5494168,-0.18632244,1.0,3.0
51.49290753,-0.13814696,9.0,7.0
51.53315083,-0.18120198,10.0,11.0
51.56643894,-0.1250432,6.0,1.0
51.49697842,-0.16823595,5.0,5.0
51.50818711,-0.19516633,8.0,8.0
51.48855087,-0.14696716,9.0,5.0
51.5219546,-0.21336112,8.0,10.0
51.52002791,-0.14713063,4.0,2.0
51.49207732,-0.14250246,9.0,7.0
51.51991474,-0.19758533,8.0,10.0
51.56258959,-0.10933106,2.0,1.0
51.54056305,-0.1953271,1.0,3.0
51.49780958,-0.16388039,5.0,5.0
51.53126392,-0.17551007,10.0,11.0
51.49571767,-0.14523579,9.0,5.0
51.54065228,-0.14340851,7.0,6.0
51.5276691,-0.17565386,10.0,11.0
51.50272825,-0.19105947,5.0,8.0
51.52952409,-0.12223536,7.0,2.0
51.56194563,-0.12522798,6.0,1.0
51.5216198,-0.13409257,0.0,2.0
51.49299881,-0.14390559,9.0,7.0
51.53507719,-0.13210016,7.0,2.0
51.53505972,-0.18833538,1.0,11.0
51.54460966,-0.16632276,3.0,3.0
51.51945515,-0.22643163,8.0,10.0
51.54392604,-0.1230845,2.0,1.0
51.53106668,-0.10631216,11.0,4.0
51.52128841,-0.17014309,10.0,11.0
51.54454666,-0.10575228,2.0,4.0
51.54684381,-0.08113778,11.0,4.0
51.52276862,-0.09368276,11.0,9.0
51.49571767,-0.14523579,9.0,5.0
51.48746965,-0.13548769,9.0,7.0
51.52116535,-0.22059932,8.0,10.0
51.54781899,-0.14167435,7.0,6.0
51.50654751,-0.14767784,4.0,0.0
51.48282301,-0.18320589,5.0,5.0
51.54779707,-0.19792532,1.0,3.0
51.49437209,-0.17410297,5.0,5.0
51.55883171,-0.09938822,2.0,1.0
51.4902343,-0.13969639,9.0,7.0
51.50075259,-0.17961115,5.0,8.0
51.52705772,-0.13675349,7.0,2.0
51.54742837,-0.11717107,2.0,1.0
51.49652514,-0.1394402,9.0,7.0
51.52705772,-0.13675349,7.0,2.0
51.53692383,-0.19258721,1.0,11.0
51.56547103,-0.12075444,6.0,1.0
51.5230715,-0.11241016,11.0,0.0
51.49034826,-0.14689427,9.0,5.0
51.51387324,-0.15602798,4.0,0.0
51.52300648,-0.22341054,8.0,10.0
51.49751506,-0.14516279,9.0,5.0
51.52705772,-0.13675349,7.0,2.0
51.52131088,-0.17158367,10.0,11.0
51.55406594,-0.19623517,1.0,3.0
51.5506744,-0.1516548,3.0,6.0
51.5501591,-0.17619625,1.0,3.0
