,Local Authority,2013,2014,2015,2016,2013.1,2014.1,2015.1,2016.1,Square_Area
0,City of London,1.37307001795,1.34533333333,1.40609951846,1.40290933172,7648,8072,8760,8831.58571429,2.9007888
6,Camden,2.27986304089,2.32038336133,2.37146089523,2.38217038217,229719,234846,241059,243517.157143,21.755916
10,Greenwich,2.52349455171,2.54093058445,2.57113585329,2.59238828234,264008,268678,274803,278828.414286,47.3450172
11,Hackney,2.46626101955,2.49454924637,2.51999063232,2.5306161424,257379,263150,269009,273550.932143,19.0623264
12,Hammersmith and Fulham,2.14559317963,2.1256703611,2.10402251671,2.09821848103,178685,178365,179410,180191.742857,16.3946367
18,Islington,2.1780549384,2.20456812288,2.25974593092,2.2666404888,215671,221030,227692,231208.125,14.8665426
19,Kensington and Chelsea,1.83137947269,1.82571595558,1.8224058239,1.81070015353,155594,156190,157711,156975.921429,12.1211532
21,Lambeth,2.35211077844,2.35977753059,2.38097020402,2.39069547727,314242,318216,324431,328382.325,26.8322964
22,Lewisham,2.37218169761,2.40571075402,2.42081908484,2.42872468202,286180,291933,297325,300619.732143,35.1461643
27,Southwark,2.37688142072,2.37806948593,2.40652072297,2.4074310754,298465,302538,308901,312921.728571,28.8524886
29,Tower Hamlets,2.49853506684,2.58477429924,2.66482534525,2.66989821092,272890,284015,295236,301853.467857,19.7616237
31,Wandsworth,2.27384299941,2.26586091754,2.26551426102,2.26718637043,310516,312145,314544,317835.871429,34.2655677
32,Westminster,1.89286548732,1.9381241173,2.00048712021,1.99075420882,226841,233292,242299,244137.332143,21.4710171
