STATION;STATION_NAME;DATE;TAVG;TMAX;TMIN
GHCND:UKM00003772;HEATHROW UK;20130101;43;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130102;44;-9999;36
GHCND:UKM00003772;HEATHROW UK;20130103;51;-9999;47
GHCND:UKM00003772;HEATHROW UK;20130104;49;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130105;49;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130106;45;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130107;47;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130108;50;53;47
GHCND:UKM00003772;HEATHROW UK;20130109;45;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130110;36;-9999;31
GHCND:UKM00003772;HEATHROW UK;20130111;38;45;33
GHCND:UKM00003772;HEATHROW UK;20130112;38;-9999;33
GHCND:UKM00003772;HEATHROW UK;20130113;36;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130114;34;-9999;31
GHCND:UKM00003772;HEATHROW UK;20130115;35;37;-9999
GHCND:UKM00003772;HEATHROW UK;20130116;29;33;-9999
GHCND:UKM00003772;HEATHROW UK;20130117;31;37;24
GHCND:UKM00003772;HEATHROW UK;20130118;31;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130119;32;34;29
GHCND:UKM00003772;HEATHROW UK;20130120;31;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130121;32;36;-9999
GHCND:UKM00003772;HEATHROW UK;20130122;32;38;-9999
GHCND:UKM00003772;HEATHROW UK;20130123;35;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130124;35;36;-9999
GHCND:UKM00003772;HEATHROW UK;20130125;34;-9999;31
GHCND:UKM00003772;HEATHROW UK;20130126;42;47;34
GHCND:UKM00003772;HEATHROW UK;20130127;46;51;-9999
GHCND:UKM00003772;HEATHROW UK;20130128;44;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130129;53;-9999;48
GHCND:UKM00003772;HEATHROW UK;20130130;50;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130131;48;50;44
GHCND:UKM00003772;HEATHROW UK;20130201;43;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130202;39;42;-9999
GHCND:UKM00003772;HEATHROW UK;20130203;41;-9999;30
GHCND:UKM00003772;HEATHROW UK;20130204;48;52;-9999
GHCND:UKM00003772;HEATHROW UK;20130205;40;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130206;40;43;-9999
GHCND:UKM00003772;HEATHROW UK;20130207;37;42;-9999
GHCND:UKM00003772;HEATHROW UK;20130208;38;43;32
GHCND:UKM00003772;HEATHROW UK;20130209;37;-9999;34
GHCND:UKM00003772;HEATHROW UK;20130210;38;42;-9999
GHCND:UKM00003772;HEATHROW UK;20130211;34;36;-9999
GHCND:UKM00003772;HEATHROW UK;20130212;35;36;34
GHCND:UKM00003772;HEATHROW UK;20130213;35;-9999;33
GHCND:UKM00003772;HEATHROW UK;20130214;47;54;33
GHCND:UKM00003772;HEATHROW UK;20130215;42;51;-9999
GHCND:UKM00003772;HEATHROW UK;20130216;44;50;38
GHCND:UKM00003772;HEATHROW UK;20130217;40;51;-9999
GHCND:UKM00003772;HEATHROW UK;20130218;39;48;-9999
GHCND:UKM00003772;HEATHROW UK;20130219;39;52;29
GHCND:UKM00003772;HEATHROW UK;20130220;38;42;34
GHCND:UKM00003772;HEATHROW UK;20130221;35;36;33
GHCND:UKM00003772;HEATHROW UK;20130222;34;36;-9999
GHCND:UKM00003772;HEATHROW UK;20130223;34;36;-9999
GHCND:UKM00003772;HEATHROW UK;20130224;35;36;-9999
GHCND:UKM00003772;HEATHROW UK;20130225;38;40;-9999
GHCND:UKM00003772;HEATHROW UK;20130226;39;41;36
GHCND:UKM00003772;HEATHROW UK;20130227;38;44;-9999
GHCND:UKM00003772;HEATHROW UK;20130228;40;48;-9999
GHCND:UKM00003772;HEATHROW UK;20130301;40;45;-9999
GHCND:UKM00003772;HEATHROW UK;20130302;37;42;-9999
GHCND:UKM00003772;HEATHROW UK;20130303;37;48;27
GHCND:UKM00003772;HEATHROW UK;20130304;40;49;33
GHCND:UKM00003772;HEATHROW UK;20130305;45;61;32
GHCND:UKM00003772;HEATHROW UK;20130306;50;57;44
GHCND:UKM00003772;HEATHROW UK;20130307;48;51;-9999
GHCND:UKM00003772;HEATHROW UK;20130308;49;51;-9999
GHCND:UKM00003772;HEATHROW UK;20130309;43;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130310;37;40;-9999
GHCND:UKM00003772;HEATHROW UK;20130311;32;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130312;34;41;28
GHCND:UKM00003772;HEATHROW UK;20130313;38;46;-9999
GHCND:UKM00003772;HEATHROW UK;20130314;37;46;-9999
GHCND:UKM00003772;HEATHROW UK;20130315;43;49;37
GHCND:UKM00003772;HEATHROW UK;20130316;44;49;-9999
GHCND:UKM00003772;HEATHROW UK;20130317;40;45;-9999
GHCND:UKM00003772;HEATHROW UK;20130318;38;47;30
GHCND:UKM00003772;HEATHROW UK;20130319;40;47;-9999
GHCND:UKM00003772;HEATHROW UK;20130320;39;45;35
GHCND:UKM00003772;HEATHROW UK;20130321;39;45;32
GHCND:UKM00003772;HEATHROW UK;20130322;39;42;-9999
GHCND:UKM00003772;HEATHROW UK;20130323;35;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130324;33;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130325;34;35;33
GHCND:UKM00003772;HEATHROW UK;20130326;34;-9999;33
GHCND:UKM00003772;HEATHROW UK;20130327;35;-9999;31
GHCND:UKM00003772;HEATHROW UK;20130328;35;41;-9999
GHCND:UKM00003772;HEATHROW UK;20130329;36;45;28
GHCND:UKM00003772;HEATHROW UK;20130330;37;42;-9999
GHCND:UKM00003772;HEATHROW UK;20130331;35;-9999;28
GHCND:UKM00003772;HEATHROW UK;20130401;37;-9999;33
GHCND:UKM00003772;HEATHROW UK;20130402;39;47;31
GHCND:UKM00003772;HEATHROW UK;20130403;37;43;31
GHCND:UKM00003772;HEATHROW UK;20130404;36;38;33
GHCND:UKM00003772;HEATHROW UK;20130405;40;47;35
GHCND:UKM00003772;HEATHROW UK;20130406;40;51;-9999
GHCND:UKM00003772;HEATHROW UK;20130407;41;51;30
GHCND:UKM00003772;HEATHROW UK;20130408;44;52;-9999
GHCND:UKM00003772;HEATHROW UK;20130409;43;49;-9999
GHCND:UKM00003772;HEATHROW UK;20130410;44;52;-9999
GHCND:UKM00003772;HEATHROW UK;20130411;47;56;43
GHCND:UKM00003772;HEATHROW UK;20130412;48;56;-9999
GHCND:UKM00003772;HEATHROW UK;20130413;49;53;40
GHCND:UKM00003772;HEATHROW UK;20130414;58;68;52
GHCND:UKM00003772;HEATHROW UK;20130415;54;60;-9999
GHCND:UKM00003772;HEATHROW UK;20130416;55;63;-9999
GHCND:UKM00003772;HEATHROW UK;20130417;56;66;48
GHCND:UKM00003772;HEATHROW UK;20130418;51;60;-9999
GHCND:UKM00003772;HEATHROW UK;20130419;49;56;-9999
GHCND:UKM00003772;HEATHROW UK;20130420;46;57;37
GHCND:UKM00003772;HEATHROW UK;20130421;47;59;-9999
GHCND:UKM00003772;HEATHROW UK;20130422;51;60;44
GHCND:UKM00003772;HEATHROW UK;20130423;58;69;-9999
